board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_14,compressed_bet_14,full_call_facing_14,compressed_call_facing_14,full_bet_29,compressed_bet_29,full_call_facing_29,compressed_call_facing_29
9d 2d Kc Tc 4c,2c 2h,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012510622901395253,9.833400220621346e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c 2s,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012510622901395253,9.833400220621346e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c 3c,0,1,5,0.00020740749505100613,9.99230592443818e-07,0.00020821708503840401,9.87868355302209e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c 3d,0,1,5,0.001244444970306037,0.0016543427096275768,0.0012587391733378112,0.0016480662027533244,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,0.3390838012504945,0.5363217403203392,0.0,6.666666666666667e-06,0.5070042217222297,0.2005953564504219
9d 2d Kc Tc 4c,2c 3h,0,1,5,0.001244444970306037,0.0016543427096275768,0.0012544018009968297,0.0016352657561076766,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,0.0,0.5363217403203392,0.0,6.666666666666667e-06,0.25561450700203353,0.2005953564504219
9d 2d Kc Tc 4c,2c 3s,0,1,5,0.001244444970306037,0.0016543427096275768,0.0012544018009968297,0.0016352657561076766,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,0.0,0.5363217403203392,0.0,6.666666666666667e-06,0.25561450700112764,0.2005953564504219
9d 2d Kc Tc 4c,2c 4d,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.85270603048868e-07,9.972353990762145e-07,1,1,0.0,6.666666666666667e-06,1.0,0.9998450831764386,1.0,0.99999,0.0,0.0001482501568947111,1.0,0.99999
9d 2d Kc Tc 4c,2c 4h,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.925614428972782e-07,9.913684570081112e-07,1,1,0.0,6.666666666666667e-06,1.0,0.9998450831764386,1.0,0.99999,0.0,0.0001482501568947111,1.0,0.99999
9d 2d Kc Tc 4c,2c 4s,0,1,5,9.998460237123483e-07,9.99230592443818e-07,9.925614428972782e-07,9.913684570081112e-07,1,1,0.0,6.666666666666667e-06,1.0,0.9998450831764386,1.0,0.99999,0.0,0.0001482501568947111,1.0,0.99999
9d 2d Kc Tc 4c,2c 5c,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012711197305217926,9.81842604050684e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c 5d,0,1,5,0.001244444970306037,9.99230592443818e-07,0.001261596770516566,9.859805436120893e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,0.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 5h,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012651725205785707,9.748084050508049e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,0.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 5s,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012651725205785709,9.748084050508049e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,0.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 6c,0,1,5,0.001244444970306037,9.99230592443818e-07,0.001232390638181642,9.83086292203124e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
