board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_45,compressed_bet_45,full_call_facing_45,compressed_call_facing_45
Kh 4h 6h Qc Ac,2c 2d,0,1,3,0.0010637240212944875,0.0023204348820166426,0.0011020133516335745,0.002333232220484774,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,0.0,0.421263202038205
Kh 4h 6h Qc Ac,2c 2h,0,1,3,0.0010637240212944875,0.0023204348820166426,0.0011020133516335745,0.00233053713624704,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,0.0,0.421263202038205
Kh 4h 6h Qc Ac,2c 2s,0,1,3,0.0010637240212944875,0.0023204348820166426,0.0011020133516335745,0.002333232220484774,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,0.0,0.421263202038205
Kh 4h 6h Qc Ac,2c 3c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010725695322537135,1.0013622683601368e-06,15,1,1.0,0.5308743635589362,0.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 3d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010722161680137654,1.002522845169285e-06,15,1,1.0,0.5308743635589362,0.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 3h,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010697292190559801,1.0013622683601368e-06,15,1,1.0,0.5308743635589362,0.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 3s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010722161680137654,1.002522845169285e-06,15,1,1.0,0.5308743635589362,0.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 4c,0,1,3,9.998410252769808e-07,9.992425741288106e-07,1.0294792592147897e-06,1.0071611538435572e-06,3,14,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.0009125883486175955
Kh 4h 6h Qc Ac,2c 4d,0,1,3,9.998410252769808e-07,9.992425741288106e-07,1.0247222770596793e-06,1.0074541553868344e-06,3,14,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.0009125883486175955
Kh 4h 6h Qc Ac,2c 4s,0,1,3,9.998410252769808e-07,9.992425741288106e-07,1.0247222770596793e-06,1.0074541553868344e-06,3,14,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.0009125883486175955
Kh 4h 6h Qc Ac,2c 5c,0,1,3,9.998410252769808e-07,9.992425741288106e-07,1.0587690341154038e-06,1.0035448053472695e-06,15,1,0.0,0.5308743635589362,1.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 5d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0011217504199035988,1.005865958965566e-06,15,1,0.0,0.5308743635589362,1.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 5h,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0011259032335452354,1.0081871125838623e-06,15,1,0.0,0.5308743635589362,1.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 5s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0011217504199035988,1.005865958965566e-06,15,1,0.0,0.5308743635589362,1.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,2c 6c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001070034042499092,9.96218203893205e-07,3,10,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.99999
