verified 1/96, three bet sizes
verified 2/96, three bet sizes
verified 3/96, three bet sizes
verified 4/96, three bet sizes
verified 5/96, three bet sizes
verified 6/96, three bet sizes
verified 7/96, three bet sizes
verified 8/96, three bet sizes
verified 9/96, three bet sizes
verified 10/96, three bet sizes
verified 11/96, three bet sizes
verified 12/96, three bet sizes
verified 13/96, three bet sizes
verified 14/96, three bet sizes
verified 15/96, three bet sizes
verified 16/96, three bet sizes
verified 17/96, three bet sizes
verified 18/96, three bet sizes
verified 19/96, three bet sizes
verified 20/96, three bet sizes
verified 21/96, three bet sizes
verified 22/96, three bet sizes
verified 23/96, three bet sizes
verified 24/96, three bet sizes
verified 25/96, three bet sizes
verified 26/96, three bet sizes
verified 27/96, three bet sizes
verified 28/96, three bet sizes
verified 29/96, three bet sizes
verified 30/96, three bet sizes
verified 31/96, three bet sizes
verified 32/96, three bet sizes
verified 33/96, three bet sizes
verified 34/96, three bet sizes
verified 35/96, three bet sizes
verified 36/96, three bet sizes
verified 37/96, three bet sizes
verified 38/96, three bet sizes
verified 39/96, three bet sizes
verified 40/96, three bet sizes
verified 41/96, three bet sizes
verified 42/96, three bet sizes
verified 43/96, three bet sizes
verified 44/96, three bet sizes
verified 45/96, three bet sizes
verified 46/96, three bet sizes
verified 47/96, three bet sizes
verified 48/96, three bet sizes
verified 49/96, three bet sizes
verified 50/96, three bet sizes
verified 51/96, three bet sizes
verified 52/96, three bet sizes
verified 53/96, three bet sizes
verified 54/96, three bet sizes
verified 55/96, three bet sizes
verified 56/96, three bet sizes
verified 57/96, three bet sizes
verified 58/96, three bet sizes
verified 59/96, three bet sizes
verified 60/96, three bet sizes
verified 61/96, three bet sizes
verified 62/96, three bet sizes
verified 63/96, three bet sizes
verified 64/96, three bet sizes
verified 65/96, three bet sizes
verified 66/96, three bet sizes
verified 67/96, three bet sizes
verified 68/96, three bet sizes
verified 69/96, three bet sizes
verified 70/96, three bet sizes
verified 71/96, three bet sizes
verified 72/96, three bet sizes
verified 73/96, three bet sizes
verified 74/96, three bet sizes
verified 75/96, three bet sizes
verified 76/96, three bet sizes
verified 77/96, three bet sizes
verified 78/96, three bet sizes
verified 79/96, three bet sizes
verified 80/96, three bet sizes
verified 81/96, three bet sizes
verified 82/96, three bet sizes
verified 83/96, three bet sizes
verified 84/96, three bet sizes
verified 85/96, three bet sizes
verified 86/96, three bet sizes
verified 87/96, three bet sizes
verified 88/96, three bet sizes
verified 89/96, three bet sizes
verified 90/96, three bet sizes
verified 91/96, three bet sizes
verified 92/96, three bet sizes
verified 93/96, three bet sizes
verified 94/96, three bet sizes
verified 95/96, three bet sizes
verified 96/96, three bet sizes
