completed 1/96, three bet sizes
completed 2/96, three bet sizes
completed 3/96, three bet sizes
completed 4/96, three bet sizes
completed 5/96, three bet sizes
completed 6/96, three bet sizes
completed 7/96, three bet sizes
completed 8/96, three bet sizes
completed 9/96, three bet sizes
completed 10/96, three bet sizes
completed 11/96, three bet sizes
completed 12/96, three bet sizes
completed 13/96, three bet sizes
completed 14/96, three bet sizes
completed 15/96, three bet sizes
completed 16/96, three bet sizes
completed 17/96, three bet sizes
completed 18/96, three bet sizes
completed 19/96, three bet sizes
completed 20/96, three bet sizes
completed 21/96, three bet sizes
completed 22/96, three bet sizes
completed 23/96, three bet sizes
completed 24/96, three bet sizes
completed 25/96, three bet sizes
completed 26/96, three bet sizes
completed 27/96, three bet sizes
completed 28/96, three bet sizes
completed 29/96, three bet sizes
completed 30/96, three bet sizes
completed 31/96, three bet sizes
completed 32/96, three bet sizes
completed 33/96, three bet sizes
completed 34/96, three bet sizes
completed 35/96, three bet sizes
completed 36/96, three bet sizes
completed 37/96, three bet sizes
completed 38/96, three bet sizes
completed 39/96, three bet sizes
completed 40/96, three bet sizes
completed 41/96, three bet sizes
completed 42/96, three bet sizes
completed 43/96, three bet sizes
completed 44/96, three bet sizes
completed 45/96, three bet sizes
completed 46/96, three bet sizes
completed 47/96, three bet sizes
completed 48/96, three bet sizes
completed 49/96, three bet sizes
completed 50/96, three bet sizes
completed 51/96, three bet sizes
completed 52/96, three bet sizes
completed 53/96, three bet sizes
completed 54/96, three bet sizes
completed 55/96, three bet sizes
completed 56/96, three bet sizes
completed 57/96, three bet sizes
completed 58/96, three bet sizes
completed 59/96, three bet sizes
completed 60/96, three bet sizes
completed 61/96, three bet sizes
completed 62/96, three bet sizes
completed 63/96, three bet sizes
completed 64/96, three bet sizes
completed 65/96, three bet sizes
completed 66/96, three bet sizes
completed 67/96, three bet sizes
completed 68/96, three bet sizes
completed 69/96, three bet sizes
completed 70/96, three bet sizes
completed 71/96, three bet sizes
completed 72/96, three bet sizes
completed 73/96, three bet sizes
completed 74/96, three bet sizes
completed 75/96, three bet sizes
completed 76/96, three bet sizes
completed 77/96, three bet sizes
completed 78/96, three bet sizes
completed 79/96, three bet sizes
completed 80/96, three bet sizes
completed 81/96, three bet sizes
completed 82/96, three bet sizes
completed 83/96, three bet sizes
completed 84/96, three bet sizes
completed 85/96, three bet sizes
completed 86/96, three bet sizes
completed 87/96, three bet sizes
completed 88/96, three bet sizes
completed 89/96, three bet sizes
completed 90/96, three bet sizes
completed 91/96, three bet sizes
completed 92/96, three bet sizes
completed 93/96, three bet sizes
completed 94/96, three bet sizes
completed 95/96, three bet sizes
completed 96/96, three bet sizes
